epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2284.24,0.75516,2.1077,0.86483,0.93635,0.97869,0.9846,0.87778,0.48829,0.53436,0.81321,0.00333235,0.00333235,0.00333235
2,4539.99,0.65041,0.86357,0.842,0.97633,0.98634,0.9925,0.90353,0.43927,0.40825,0.80509,0.0066524,0.0066524,0.0066524
3,6790.9,0.63725,0.7151,0.84271,0.97975,0.99163,0.99199,0.90821,0.42429,0.35272,0.80364,0.00991947,0.00991947,0.00991947
4,8985,0.59949,0.57382,0.83511,0.98043,0.9936,0.99128,0.91766,0.39943,0.3101,0.79761,0.00982162,0.00982162,0.00982162
5,11212,0.54809,0.46808,0.82632,0.9867,0.99617,0.99229,0.93174,0.36771,0.27145,0.79071,0.00968436,0.00968436,0.00968436
6,13405.7,0.49548,0.41786,0.81663,0.9896,0.99463,0.9934,0.9494,0.30905,0.23826,0.7839,0.0095098,0.0095098,0.0095098
7,15627.7,0.45395,0.38753,0.81143,0.98958,0.99596,0.99361,0.9509,0.30149,0.22814,0.78179,0.00929932,0.00929932,0.00929932
8,17821.3,0.43113,0.36388,0.80745,0.99374,0.99519,0.99469,0.95712,0.28937,0.21452,0.78156,0.00905463,0.00905463,0.00905463
9,20030.4,0.42017,0.35245,0.80554,0.99575,0.99504,0.99476,0.96034,0.27856,0.20682,0.77897,0.0087777,0.0087777,0.0087777
10,22239.6,0.40612,0.33961,0.80416,0.99536,0.99698,0.99492,0.96264,0.27554,0.1954,0.77835,0.00847076,0.00847076,0.00847076
11,24475.3,0.39431,0.32676,0.80251,0.99583,0.99667,0.99473,0.9659,0.26489,0.18906,0.77564,0.00813627,0.00813627,0.00813627
12,27932.6,0.38734,0.32198,0.80064,0.99662,0.99622,0.99491,0.96643,0.26262,0.18503,0.7765,0.00777694,0.00777694,0.00777694
